lib,version,shape,size,autoScheduling,ttr,ttfp,memory,fps,fpsMin,move,bulk,samples,note,harness,session,measured_at
"devextreme","26.1.4","flat","10000","false","13319","6527","22","0","0","6739","","","skipped — bulk failed at 5000","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","flat","10000","true","13312","6495","22","0","0","","","","skipped — move failed at 5000","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","flat","50000","false","286016","141376","62","","","","","","DNF (fps)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","flat","50000","true","283727","140233","62","","","","","","DNF (fps)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","flat","100000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","flat","100000","true","","","","","","","","","DNF (ttr)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","1000","false","265","200","13","25","23","125","45997","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","1000","true","265","200","13","25","22","1086","90793","","error: Maximum call stack size exceeded","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","5000","false","3323","1640","17","2","1","1471","","","DNF (bulk)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","5000","true","3321","1638","17","2","1","5699","","","DNF (bulk)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","10000","false","11647","5569","22","0","0","5972","","","skipped — bulk failed at 5000","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","10000","true","11621","5553","22","0","0","17143","","","skipped — bulk failed at 5000","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","50000","false","243656","114696","61","","","","","","DNF (fps)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","50000","true","244303","114529","61","","","","","","DNF (fps)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","100000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"devextreme","26.1.4","tree","100000","true","","","","","","","","","DNF (ttr)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","1000","false","207","207","27","60","61","351","","","DNF (bulk)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","1000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","5000","false","1501","1438","40","54","53","5298","","","skipped — bulk failed at 1000","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","5000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","10000","false","4316","4241","56","28","27","19433","","","skipped — bulk failed at 1000","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","10000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","50000","false","81095","80709","187","5","5","","","","DNF (move)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","50000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","100000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","flat","100000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","1000","false","215","215","27","60","60","534","238175","","","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","1000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","5000","false","1496","1440","41","50","49","7857","","","DNF (bulk)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","5000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","10000","false","4446","4372","57","27","26","29338","","","skipped — bulk failed at 5000","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","10000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","50000","false","85977","85594","191","5","4","","","","DNF (move)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","50000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","100000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"kendo","2026.3.811","tree","100000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-213711","2026-09-03T18:37:11.573Z"
"syncfusion","34.2.8","flat","1000","false","232","232","21","60","61","89","2858","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","1000","true","247","247","21","60","61","256","11087","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","5000","false","696","696","43","60","60","290","7688","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","5000","true","732","732","44","60","60","","","","error: page.evaluate: RangeError: Maximum call stack size exceeded","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","10000","false","2784","2784","71","61","61","2553","14697","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","10000","true","2472","2472","72","60","61","","","","skipped — move failed at 5000","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","50000","false","43381","43381","293","60","60","47389","100280","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","50000","true","34824","34824","300","60","61","","","","skipped — move failed at 5000","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","100000","false","187609","187609","571","60","60","220997","248538","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","flat","100000","true","145631","145631","584","59","60","","","","skipped — move failed at 5000","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","1000","false","265","265","23","60","60","89","2870","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","1000","true","269","269","23","60","61","183","3830","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","5000","false","815","815","52","60","60","285","6241","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","5000","true","847","847","53","60","60","409","8473","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","10000","false","3533","3533","89","60","60","2597","11442","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","10000","true","2535","2535","91","60","60","2765","15535","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","50000","false","57247","57247","386","60","61","51931","79534","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","50000","true","33721","33721","392","61","61","53826","118094","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","100000","false","254962","254962","755","60","61","248695","205108","","","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"
"syncfusion","34.2.8","tree","100000","true","138840","138840","768","60","61","251402","","","did not settle (bulk; 16 frames, 15 over threshold, worst 7145 ms)","1.0.0","20260915-211716","2026-09-15T18:17:16.564Z"

session,started,browser,os,cpu,cores,ram_gb,refresh_hz,headless,sleep_inhibited,sleep_inhibitor,runs_per_cell,dataset_years,timeout_s
"20260915-211716","2026-09-15T18:17:16.564Z","Chromium 151.0.7922.34","darwin 24.6.0","Apple M1","8","16","60","false","true","caffeinate -dims -w <runner pid>","3","2","300"
