lib,version,shape,size,autoScheduling,ttr,ttfp,memory,fps,fpsMin,move,bulk,samples,note,harness,session,measured_at
"devextreme","26.1.4","flat","10000","false","13824","5672","22","0","0","5824","","","skipped — bulk failed at 5000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","10000","true","13696","5609","22","0","0","","","","skipped — move failed at 5000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","50000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","50000","true","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","100000","false","","","","","","","","","skipped — could not load 50000 tasks","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","flat","100000","true","","","","","","","","","skipped — could not load 50000 tasks","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","1000","false","343","228","13","15","11","106","41582","","","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","1000","true","347","232","13","15","11","1281","90371","","error: Maximum call stack size exceeded","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","5000","false","3409","1474","17","2","1","1271","","","DNF (bulk)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","5000","true","3404","1471","17","2","1","5218","","","DNF (bulk)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","10000","false","12398","4938","22","0","0","5036","","","skipped — bulk failed at 5000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","10000","true","12156","4851","22","0","0","14610","","","skipped — bulk failed at 5000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","50000","false","276767","105537","61","","","","","","DNF (fps)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","50000","true","276757","105602","61","","","","","ttr=2/3 ttfp=2/3 memory=2/3","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","100000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"devextreme","26.1.4","tree","100000","true","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","1000","false","409","273","27","61","61","422","","","DNF (bulk)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","1000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","5000","false","1850","1628","40","60","60","6520","","","skipped — bulk failed at 1000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","5000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","10000","false","4896","4592","56","41","41","24966","","","skipped — bulk failed at 1000","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","10000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","50000","false","83349","82317","186","9","7","","","","DNF (move)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","50000","true","","","","","","","","","n/a — library has no auto-scheduling","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
"kendo","2026.3.811","flat","100000","false","","","","","","","","","DNF (ttr)","1.0.0","20260903-193551","2026-09-03T16:35:51.557Z"
